ra,dec,vmag,bv
207.40416666666664,-42.473888888888894,3.04,-0.17
208.88499999999996,-47.288333333333334,2.55,-0.22
208.67125,18.397777777777776,2.68,0.58
210.95583333333332,-60.37305555555555,0.61,-0.23
211.59291666666664,-26.6825,3.27,1.12
211.6708333333333,-36.37,2.06,1.01
213.91541666666666,19.1825,-0.04,1.23
218.01958333333332,38.30833333333333,3.03,0.19
218.87666666666667,-42.157777777777774,2.31,-0.19
219.8995833333333,-60.83527777777778,-0.01,0.71
219.90041666666664,-60.83555555555556,1.33,0.88
220.62666666666664,-64.97527777777778,3.19,0.24
220.48249999999996,-47.388333333333335,2.30,-0.20
221.2466666666666,27.074166666666667,2.70,0.97
222.71958333333333,-16.041666666666668,2.75,0.15
222.67624999999998,74.15555555555557,2.08,1.47
224.63291666666663,-43.13388888888889,2.68,-0.22
224.79041666666663,-42.10416666666667,3.13,-0.20
226.01749999999996,-25.281944444444445,3.29,1.70
228.07124999999996,-52.09916666666667,3.41,0.92
229.7275,-68.67944444444444,2.89,0.00
228.8758333333333,33.31472222222222,3.47,0.95
229.25166666666664,-9.383055555555556,2.61,-0.11
230.34291666666664,-40.6475,3.22,-0.22
230.67041666666663,-44.68944444444444,3.37,-0.18
230.1820833333333,71.83388888888888,3.05,0.05
231.23249999999996,58.96611111111111,3.29,1.16
233.78541666666666,-41.16694444444444,2.78,-0.20
233.6720833333333,26.71472222222222,2.23,-0.02
236.0670833333333,6.4255555555555555,2.65,1.17
238.78541666666663,-63.43055555555555,2.85,0.29
239.71291666666664,-26.11416666666667,2.89,-0.19
240.0304166666666,-38.39694444444444,3.41,-0.22
240.08333333333331,-22.621666666666666,2.32,-0.12
239.8758333333333,25.92027777777778,2.00,0.10
241.3591666666666,-19.805555555555557,2.62,-0.07
243.58624999999998,-3.6944444444444446,2.74,1.58
244.58041666666662,-4.6925,3.24,0.96
245.29708333333332,-25.592777777777776,2.89,0.13
245.99791666666664,61.51416666666667,2.74,0.91
247.35166666666666,-26.431944444444447,0.96,1.83
247.55499999999998,21.489722222222223,2.77,0.94
248.97083333333327,-28.21611111111111,2.82,-0.25
249.2895833333333,-10.567222222222222,2.56,0.02
250.32166666666666,31.603055555555557,2.81,0.65
252.16624999999996,-69.02777777777777,1.92,1.44
252.54083333333327,-34.29333333333333,2.29,1.15
252.96750000000003,-38.0475,3.08,-0.20
254.65499999999992,-55.99027777777778,3.13,1.60
254.41708333333332,9.375,3.20,1.15
257.59458333333333,-15.724722222222223,2.43,0.06
258.0383333333333,-43.23916666666667,3.33,0.41
257.19666666666666,65.71472222222222,3.17,-0.12
258.6620833333333,14.390277777777778,3.48,1.44
258.75791666666663,24.839166666666664,3.14,0.08
258.76166666666666,36.80916666666666,3.16,1.44
260.50249999999994,-24.999444444444446,3.27,-0.22
261.325,-55.53,2.85,1.46
261.3483333333333,-56.3775,3.34,-0.13
262.69083333333333,-37.295833333333334,2.69,-0.22
262.9604166666666,-49.876111111111115,2.95,-0.17
263.40208333333334,-37.10388888888889,1.63,-0.22
262.6083333333333,52.30138888888889,2.79,0.98
264.33,-42.99777777777778,1.87,0.40
263.73374999999993,12.56,2.08,0.15
265.6220833333333,-39.03,2.41,-0.22
265.8683333333333,4.567222222222222,2.77,1.16
266.89625,-40.12694444444445,3.03,0.51
266.61458333333326,27.720555555555553,3.42,0.75
267.4645833333333,-37.04333333333333,3.21,1.17
